category,volume,end_date,start_date,question,slug,id
01-Fed-rates,235065166,2026-01-28,2025-09-17,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,601697
01-Fed-rates,216455743,2026-01-28,2025-09-17,Fed increases interest rates by 25+ bps after January 2026 meeting?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,601700
01-Fed-rates,172972056,2026-03-18,2025-10-29,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-march-2026-meeting,654415
01-Fed-rates,106767096,2026-01-28,2025-09-17,No change in Fed interest rates after January 2026 meeting?,no-change-in-fed-interest-rates-after-january-2026-meeting,601699
01-Fed-rates,101211542,2026-01-28,2025-09-17,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,601698
01-Fed-rates,87103283,2026-03-18,2025-10-29,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-march-2026-meeting,654413
01-Fed-rates,58427768,2026-04-29,2025-11-13,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,669660
01-Fed-rates,47687185,2026-04-29,2025-11-13,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,669663
01-Fed-rates,47375775,2026-04-29,2025-11-13,Will there be no change in Fed interest rates after the April 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,669662
01-Fed-rates,38736460,2026-04-29,2025-11-13,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,669661
01-Fed-rates,3511751,2026-12-31,2025-09-29,Will no Fed rate cuts happen in 2026?,will-no-fed-rate-cuts-happen-in-2026,616902
01-Fed-rates,2940773,2026-06-17,2025-12-10,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-june-2026-meeting,906972
01-Fed-rates,2417959,2026-12-31,2025-09-29,Will 11 Fed rate cuts happen in 2026?,will-11-fed-rate-cuts-happen-in-2026,616913
01-Fed-rates,2296226,2026-06-17,2025-12-10,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-the-june-2026-meeting,906976
01-Fed-rates,2213862,2026-12-31,2025-09-29,Will 6 Fed rate cuts happen in 2026?,will-6-fed-rate-cuts-happen-in-2026,616908
01-Fed-rates,2044469,2026-06-17,2025-12-10,Will there be no change in Fed interest rates after the June 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-june-2026-meeting,906974
01-Fed-rates,2010547,2026-06-17,2025-12-10,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-june-2026-meeting,906975
01-Fed-rates,1932776,2026-12-31,2025-09-29,Will 10 Fed rate cuts happen in 2026?,will-10-fed-rate-cuts-happen-in-2026,616912
01-Fed-rates,1921070,2026-12-31,2025-09-29,Will 12 or more Fed rate cuts happen in 2026?,will-12-or-more-fed-rate-cuts-happen-in-2026,616914
01-Fed-rates,1611835,2026-06-17,2025-12-10,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-june-2026-meeting,906973
02-Fed-chair,127684064,2026-12-31,2025-08-05,Will Trump nominate Judy Shelton as the next Fed chair?,will-trump-nominate-judy-shelton-as-the-next-fed-chair,572473
02-Fed-chair,59907150,2026-12-31,2025-08-05,Will Trump nominate Kevin Warsh as the next Fed chair?,will-trump-nominate-kevin-warsh-as-the-next-fed-chair,572469
02-Fed-chair,38740980,2026-12-31,2025-08-05,Will Trump nominate Scott Bessent as the next Fed chair?,will-trump-nominate-scott-bessent-as-the-next-fed-chair,572481
02-Fed-chair,36122905,2026-12-31,2025-08-05,Will Trump nominate Kevin Hassett as the next Fed chair?,will-trump-nominate-kevin-hassett-as-the-next-fed-chair,572470
02-Fed-chair,35603624,2026-12-31,2025-08-05,Will Trump nominate Rick Rieder as the next Fed chair?,will-trump-nominate-rick-rieder-as-the-next-fed-chair,572485
02-Fed-chair,29229521,2026-12-31,2025-08-05,Will Trump nominate Christopher Waller as the next Fed chair?,will-trump-nominate-christopher-waller-as-the-next-fed-chair,572471
02-Fed-chair,27875356,2026-12-31,2025-08-05,Will Trump nominate Jerome Powell as the next Fed chair?,will-trump-nominate-jerome-powell-as-the-next-fed-chair,572478
