open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-06,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,3335.0008337502086,3333.3333333333335,3333.3333333333335,0.0,False
2026-01-05,2026-01-06,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,44444.444444444445,3333.3333333333335,3333.3333333333335,0.0,False
2026-01-05,2026-01-06,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.435,0.455,7662.835249042146,3333.3333333333335,3486.5900383141766,153.2567049808431,False
2026-01-07,2026-01-08,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3609.1263677470574,3338.4418901660283,3338.4418901660283,0.0,False
2026-01-07,2026-01-08,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6676883.780332057,3338.4418901660283,3338.4418901660283,0.0,False
2026-01-07,2026-01-08,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.78,0.77,4280.053705341062,3338.4418901660283,3295.6413531126177,-42.80053705341061,False
2026-01-14,2026-01-15,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.735,0.705,13620.470226928905,10011.045616792744,9602.431509984877,-408.61410680786685,False
2026-01-18,2026-01-19,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.675,0.68,4923.547756104669,3323.3947353706517,3348.0124741511754,24.617738780523723,False
2026-01-18,2026-01-19,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.765,0.775,4344.306843621767,3323.394735370652,3366.83780380687,43.4430684362178,False
2026-01-18,2026-01-19,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.805,0.795,4128.440665056711,3323.394735370652,3282.1103287200854,-41.28440665056678,False
2026-01-21,2026-01-22,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.685,0.685,14558.922403165803,9972.861846168576,9972.861846168576,0.0,False
2026-01-22,2026-01-23,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,4986430.923084289,2493.2154615421446,2493.2154615421446,0.0,False
2026-01-22,2026-01-23,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,2695.368066532048,2493.2154615421446,2493.2154615421446,0.0,False
2026-01-22,2026-01-23,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.735,0.765,3392.1298796491765,2493.2154615421446,2594.97935793162,101.76389638947558,False
2026-01-22,2026-01-23,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.885,0.875,2817.1926119120276,2493.2154615421446,2465.043535423024,-28.1719261191206,False
2026-01-28,2026-01-29,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.695,0.685,3590.0075694948255,2495.0552607989034,2459.155185103956,-35.900075694947645,False
2026-01-28,2026-01-29,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.74,0.735,3371.6962983768967,2495.0552607989034,2478.196779307019,-16.858481491884504,False
2026-01-28,2026-01-29,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.935,0.935,2668.508300319683,2495.0552607989034,2495.0552607989034,0.0,False
2026-01-28,2026-01-29,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.55,4416.027010263546,2495.0552607989034,2428.8148556449505,-66.2404051539529,False
2026-02-08,2026-02-09,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.835,0.84,3979.369719345922,3322.7737156538446,3342.6705642505744,19.896848596729797,False
2026-02-08,2026-02-09,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.875,0.875,3797.4556750329652,3322.7737156538446,3322.7737156538446,0.0,False
2026-02-08,2026-02-09,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.92,0.91,3611.7105604933095,3322.7737156538446,3286.6566100489117,-36.11710560493293,False
2026-03-10,2026-03-11,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.715,0.695,3484.8598326086408,2491.674780315178,2421.977583663005,-69.6971966521728,False
2026-03-10,2026-03-11,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,4983349.560630356,2491.674780315178,2491.674780315178,0.0,False
2026-03-10,2026-03-11,706279,Will Trump visit China by April 30?,trump-calls,NO,0.125,0.135,19933.398242521424,2491.674780315178,2691.0087627403923,199.33398242521434,False
2026-03-10,2026-03-11,1455604,Will Trump talk to Xi Jinping in March?,trump-calls,NO,0.295,0.27,8446.355187509078,2491.674780315178,2280.515900627451,-211.15887968772677,False
2026-03-16,2026-03-17,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.695,0.755,14328.844477509701,9958.546911869242,10818.277580519825,859.7306686505835,False
