open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6666666.666666667,3333.3333333333335,3333.3333333333335,0.0,True
2026-01-05,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3603.6036036036035,3333.3333333333335,3333.3333333333335,0.0,True
2026-01-07,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,40000.00000000001,3000.0000000000005,3000.0000000000005,0.0,True
2026-01-07,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,3001.500750375188,3000.0000000000005,3000.0000000000005,0.0,True
2026-01-22,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,1476.9634817408707,1476.2250000000004,1476.2250000000004,0.0,True
2026-01-22,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,19683.000000000007,1476.2250000000006,1476.2250000000006,0.0,True
2026-01-05,2026-02-04,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.545,5899.705014749264,3333.3333333333335,3215.339233038349,-117.99410029498449,False
2026-01-07,2026-02-06,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.22,0.295,13636.363636363638,3000.0000000000005,4022.727272727273,1022.7272727272725,False
2026-01-14,2026-02-13,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.265,0.265,30566.037735849062,8100.000000000002,8100.000000000002,0.0,False
2026-01-18,2026-02-17,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.325,0.255,7476.923076923078,2430.0000000000005,1906.615384615385,-523.3846153846155,False
2026-01-18,2026-02-17,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.235,0.185,10340.425531914896,2430.0000000000005,1912.9787234042558,-517.0212765957447,False
2026-01-18,2026-02-17,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.195,0.115,12461.538461538463,2430.0000000000005,1433.0769230769233,-996.9230769230771,False
2026-01-21,2026-02-20,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.315,0.255,20828.571428571435,6561.000000000002,5311.285714285716,-1249.7142857142862,False
2026-01-22,2026-02-21,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.265,0.175,5570.660377358492,1476.2250000000004,974.865566037736,-501.35943396226435,False
2026-01-22,2026-02-21,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.115,0.114,12836.739130434786,1476.2250000000004,1463.3882608695656,-12.836739130434808,False
2026-01-28,2026-02-27,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.305,0.255,4356.073770491806,1328.6025000000006,1110.7988114754105,-217.80368852459014,False
2026-01-28,2026-02-27,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,YES,0.26,0.155,5110.009615384618,1328.6025000000006,792.0514903846158,-536.5510096153848,False
2026-01-28,2026-02-27,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,YES,0.065,0.0015,20440.038461538472,1328.6025000000006,30.66005769230771,-1297.942442307693,False
2026-01-28,2026-02-27,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.435,0.365,3054.2586206896567,1328.6025000000006,1114.8043965517247,-213.79810344827592,False
2026-02-08,2026-03-10,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.165,0.165,14280.176398471172,2356.2291057477437,2356.2291057477437,0.0,False
2026-02-08,2026-03-10,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.125,0.1085,18849.83284598195,2356.2291057477437,2045.2068637890416,-311.0222419587021,False
2026-02-08,2026-03-10,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.08,0.285,29452.863821846797,2356.2291057477437,8394.066189226336,6037.837083478593,False
2026-03-10,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.285,0.165,8821.422223012798,2514.105333558647,1455.5346667971116,-1058.5706667615354,True
2026-03-10,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,YES,0.9995,0.9995,2515.36301506618,2514.105333558647,2514.105333558647,0.0,True
2026-03-10,2026-03-31,1455604,Will Trump talk to Xi Jinping in March?,trump-calls,YES,0.705,0.37,3566.106856111556,2514.105333558647,1319.4595367612758,-1194.6457967973713,True
2026-03-16,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.405,0.165,22347.602964965747,9050.779200811128,3687.3544892193486,-5363.42471159178,True
2026-03-10,2026-04-09,706279,Will Trump visit China by April 30?,trump-calls,YES,0.875,0.018,2873.2632383527393,2514.105333558647,51.71873829034931,-2462.3865952682977,False
