open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0075,0.0005,74074.07407407407,555.5555555555555,37.03703703703704,-518.5185185185185,True
2026-01-05,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.095,0.0035,5847.953216374269,555.5555555555555,20.46783625730994,-535.0877192982456,True
2026-01-07,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9945,0.9995,502.76520864756094,499.9999999999994,502.5138260432372,2.5138260432378274,True
2026-01-07,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.895,0.9965,558.6592178770943,499.99999999999943,556.7039106145245,56.70391061452506,True
2026-01-14,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9975,0.9995,369.1045796308949,368.1818181818177,368.92002734107945,0.7382091592617712,True
2026-01-14,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.959,0.9965,383.9226466963688,368.1818181818177,382.5789174329315,14.397099251113843,True
2026-01-18,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9965,0.9995,332.5274825525693,331.36363636363535,332.36121881129304,0.9975824476576918,True
2026-01-18,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.9615,0.9965,344.6319670968646,331.36363636363535,343.4257552120256,12.062118848390242,True
2026-01-21,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9985,0.9995,285.6894036707228,285.26086956521675,285.54655896888744,0.2856894036706876,True
2026-01-21,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.9755,0.9965,292.42528914937645,285.26086956521675,291.40180063735363,6.14093107213688,True
2026-01-22,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9985,0.9995,257.12046330365064,256.7347826086952,256.9919030719988,0.2571204633036359,True
2026-01-22,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.9815,0.9965,261.5738997541469,256.7347826086952,260.6583911050074,3.9236084963122266,True
