open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-06,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6666666.666666667,3333.3333333333335,3333.3333333333335,0.0,False
2026-01-05,2026-01-06,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3603.6036036036035,3333.3333333333335,3333.3333333333335,0.0,False
2026-01-05,2026-01-06,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.545,5899.705014749264,3333.3333333333335,3215.339233038349,-117.99410029498449,False
2026-01-07,2026-01-08,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,44392.002622091124,3329.4001966568344,3329.4001966568344,0.0,False
2026-01-07,2026-01-08,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,3331.065729521595,3329.4001966568344,3329.4001966568344,0.0,False
2026-01-07,2026-01-08,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.22,0.23,15133.637257531065,3329.4001966568344,3480.736569232145,151.33637257531063,False
2026-01-14,2026-01-15,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.265,0.295,37748.43104614352,10003.334227228033,11135.787158612338,1132.452931384305,False
2026-01-18,2026-01-19,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.325,0.32,10375.978995247657,3372.1931734554887,3320.31327847925,-51.879894976238575,False
2026-01-18,2026-01-19,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.235,0.225,14349.758184916975,3372.1931734554887,3228.6955916063193,-143.49758184916936,False
2026-01-18,2026-01-19,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.195,0.205,17293.29832541276,3372.1931734554887,3545.1261567096158,172.93298325412707,False
2026-01-21,2026-01-22,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.315,0.315,32109.000225426476,10114.33507100934,10114.33507100934,0.0,False
2026-01-22,2026-01-23,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,2529.848692098384,2528.583767752335,2528.583767752335,0.0,False
2026-01-22,2026-01-23,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,33714.450236697805,2528.5837677523355,2528.5837677523355,0.0,False
2026-01-22,2026-01-23,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.265,0.235,9541.825538688056,2528.583767752335,2242.3290015916928,-286.25476616064225,False
2026-01-22,2026-01-23,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.115,0.125,21987.684936976824,2528.583767752335,2748.460617122103,219.87684936976802,False
2026-01-28,2026-01-29,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,YES,0.305,0.315,8284.99776994283,2526.924319832563,2609.774297531991,82.84997769942811,False
2026-01-28,2026-01-29,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,YES,0.26,0.265,9718.939691663703,2526.924319832563,2575.5190182908814,48.59469845831836,False
2026-01-28,2026-01-29,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,YES,0.065,0.065,38875.75876665481,2526.924319832563,2526.924319832563,0.0,False
2026-01-28,2026-01-29,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.435,0.45,5809.021424902444,2526.924319832563,2614.0596412061,87.13532137353695,False
2026-02-08,2026-02-09,1126504,Will the US acquire part of Greenland in 2026?,greenland,YES,0.165,0.16,20463.748038552287,3376.5184263611277,3274.199686168366,-102.31874019276165,False
2026-02-08,2026-02-09,997488,Will Trump acquire Greenland before 2027?,greenland,YES,0.125,0.125,27012.14741088902,3376.5184263611277,3376.5184263611277,0.0,False
2026-02-08,2026-02-09,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.08,0.09,42206.480329514096,3376.5184263611277,3798.5832296562685,422.0648032951408,False
2026-03-10,2026-03-11,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.285,0.305,8913.622706485632,2540.382471348405,2718.6549254781175,178.27245412971251,False
2026-03-10,2026-03-11,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,YES,0.9995,0.9995,2541.6532979974036,2540.382471348405,2540.382471348405,0.0,False
2026-03-10,2026-03-11,706279,Will Trump visit China by April 30?,trump-calls,YES,0.875,0.865,2903.2942529696056,2540.382471348405,2511.3495288187087,-29.032942529696356,False
2026-03-10,2026-03-11,1455604,Will Trump talk to Xi Jinping in March?,trump-calls,YES,0.705,0.73,3603.3793919835534,2540.382471348405,2630.466956147994,90.08448479958906,False
2026-03-16,2026-03-17,1162940,US forces enter Iran by March 31?,iran-strike,YES,0.405,0.245,25149.289592675505,10185.46228503358,6161.575950205499,-4023.886334828081,False
