open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,3335.0008337502086,3333.3333333333335,3333.3333333333335,0.0,True
2026-01-05,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,44444.444444444445,3333.3333333333335,3333.3333333333335,0.0,True
2026-01-07,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3243.243243243244,3000.0000000000005,3000.0000000000005,0.0,True
2026-01-07,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6000000.000000001,3000.0000000000005,3000.0000000000005,0.0,True
2026-01-22,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,2952450.0000000005,1476.2250000000004,1476.2250000000004,0.0,True
2026-01-22,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,1595.9189189189192,1476.2250000000004,1476.2250000000004,0.0,True
2026-01-05,2026-02-04,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,YES,0.435,0.455,7662.835249042146,3333.3333333333335,3486.5900383141766,153.2567049808431,False
2026-01-07,2026-02-06,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.78,0.705,3846.1538461538466,3000.0000000000005,2711.538461538462,-288.46153846153857,False
2026-01-14,2026-02-13,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.735,0.735,11020.408163265309,8100.000000000002,8100.000000000002,0.0,False
2026-01-18,2026-02-17,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.675,0.745,3600.0000000000005,2430.0000000000005,2682.0000000000005,252.0,False
2026-01-18,2026-02-17,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.765,0.815,3176.4705882352946,2430.0000000000005,2588.823529411765,158.8235294117644,False
2026-01-18,2026-02-17,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.805,0.885,3018.633540372671,2430.0000000000005,2671.490683229814,241.49068322981338,False
2026-01-21,2026-02-20,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.685,0.745,9578.102189781024,6561.000000000002,7135.686131386863,574.6861313868612,False
2026-01-22,2026-02-21,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.735,0.825,2008.4693877551026,1476.2250000000004,1656.9872448979595,180.76224489795914,False
2026-01-22,2026-02-21,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.885,0.886,1668.0508474576275,1476.2250000000004,1477.893050847458,1.6680508474576072,False
2026-01-28,2026-02-27,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.695,0.745,1911.658273381296,1328.6025000000006,1424.1854136690656,95.58291366906496,False
2026-01-28,2026-02-27,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.74,0.845,1795.4087837837847,1328.6025000000006,1517.120422297298,188.51792229729745,False
2026-01-28,2026-02-27,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.935,0.9985,1420.965240641712,1328.6025000000006,1418.8337927807495,90.23129278074884,False
2026-01-28,2026-02-27,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.635,2351.5088495575233,1328.6025000000004,1493.2081194690272,164.6056194690268,False
2026-02-08,2026-03-10,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.835,0.835,2780.316773114544,2321.5645055506443,2321.5645055506443,0.0,False
2026-02-08,2026-03-10,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.875,0.8915,2653.216577772165,2321.5645055506443,2365.3425790838846,43.77807353324033,False
2026-02-08,2026-03-10,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.92,0.715,2523.4396799463525,2321.5645055506443,1804.2593711616419,-517.3051343890024,False
2026-03-10,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.715,0.835,3543.3439333445294,2533.4909123413386,2958.692184342682,425.20127200134357,True
2026-03-10,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,5066981.824682677,2533.4909123413386,2533.4909123413386,0.0,True
2026-03-10,2026-03-31,1455604,Will Trump talk to Xi Jinping in March?,trump-calls,NO,0.295,0.72,8588.104787597758,2533.4909123413386,6183.435447070386,3649.944534729047,True
2026-03-16,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.695,0.835,13123.11839486161,9120.567284428818,10957.803859709444,1837.2365752806254,True
2026-03-10,2026-04-09,706279,Will Trump visit China by April 30?,trump-calls,NO,0.125,0.982,20267.92729873071,2533.4909123413386,19903.104607353554,17369.613695012216,False
